id,name_en,name_ar,category,uses,side_effects
104,"Levocet Tablets","ليفوسيت أقراص",Allergy,"تُستخدم ليفوسيت أقراص كمضادات لهستامين الجسم نشطة وفعالة، تستخدم بامتياز لتخفيف وعلاج أعراض الحساسية الموسمية المُزعجة بشدة، سيلان الأنف والعطس المتكرر، إدماع العينين، والطفح الجلدي دون التأثير السلبي على التركيز المعتاد.","باعتباره الجيل الحديث فهو لا يسبب النعاس تقريباً ويمكن مزاولة اليوم معها بنشاط بالغ، قد يُلاحظ فقط صداع بسيط أو جفاف خفيف في الحلق والفم."
105,"Histazine Tablets","هيستازين أقراص",Allergy,"تُستخدم هيستازين أقراص كمضادات لهستامين الجسم نشطة وفعالة، تستخدم بامتياز لتخفيف وعلاج أعراض الحساسية الموسمية المُزعجة بشدة، سيلان الأنف والعطس المتكرر، إدماع العينين، والطفح الجلدي دون التأثير السلبي على التركيز المعتاد.","باعتباره الجيل الحديث فهو لا يسبب النعاس تقريباً ويمكن مزاولة اليوم معها بنشاط بالغ، قد يُلاحظ فقط صداع بسيط أو جفاف خفيف في الحلق والفم."
106,"Polaramine Tablets","بولاراميين أقراص",Allergy,"تُستخدم بولاراميين أقراص كمضاد كلاسيكي قوي للحساسية المفرطة والحكة الجلدية الشديدة التي تتطلب تركيبة مهدئة ومسكنة لرد الفعل التحسسي المزعج والمتطور.","تأثير منوم واضح ورغبة شديدة في النعاس وجفاف الفم المستمر. يمنع معه تماماً القيادة أو استخدام الآليات الثقيلة لوقت العلاج."
107,"Phenergan Tablets","فينيرجان أقراص",Allergy,"تُستخدم فينيرجان أقراص كمضاد كلاسيكي قوي للحساسية المفرطة والحكة الجلدية الشديدة التي تتطلب تركيبة مهدئة ومسكنة لرد الفعل التحسسي المزعج والمتطور.","تأثير منوم واضح ورغبة شديدة في النعاس وجفاف الفم المستمر. يمنع معه تماماً القيادة أو استخدام الآليات الثقيلة لوقت العلاج."
108,"Phenergan Syrup","فينيرجان شراب",Allergy,"تُستخدم فينيرجان شراب كمضاد كلاسيكي قوي للحساسية المفرطة والحكة الجلدية الشديدة التي تتطلب تركيبة مهدئة ومسكنة لرد الفعل التحسسي المزعج والمتطور.","تأثير منوم واضح ورغبة شديدة في النعاس وجفاف الفم المستمر. يمنع معه تماماً القيادة أو استخدام الآليات الثقيلة لوقت العلاج."
109,"Avil Ampoules","أفيل أمبولات",Allergy,"تُستخدم أفيل أمبولات كمضاد كلاسيكي قوي للحساسية المفرطة والحكة الجلدية الشديدة التي تتطلب تركيبة مهدئة ومسكنة لرد الفعل التحسسي المزعج والمتطور.","تأثير منوم واضح ورغبة شديدة في النعاس وجفاف الفم المستمر. يمنع معه تماماً القيادة أو استخدام الآليات الثقيلة لوقت العلاج."
110,"Periactin Tablets","بيرياكتين أقراص",Allergy,"تُستخدم بيرياكتين أقراص كمضادات لهستامين الجسم نشطة وفعالة، تستخدم بامتياز لتخفيف وعلاج أعراض الحساسية الموسمية المُزعجة بشدة، سيلان الأنف والعطس المتكرر، إدماع العينين، والطفح الجلدي دون التأثير السلبي على التركيز المعتاد.","باعتباره الجيل الحديث فهو لا يسبب النعاس تقريباً ويمكن مزاولة اليوم معها بنشاط بالغ، قد يُلاحظ فقط صداع بسيط أو جفاف خفيف في الحلق والفم."
111,"Concor 5mg Tablets","كونكور أقراص 5 مجم","Blood pressure & Heart","تُستخدم كونكور أقراص 5 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
112,"Concor 10mg Tablets","كونكور أقراص 10 مجم","Blood pressure & Heart","تُستخدم كونكور أقراص 10 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
113,"Norvasc 5mg Tablets","نورفاسك أقراص 5 مجم","Blood pressure & Heart","تُستخدم نورفاسك أقراص 5 مجم كعلاج مفصلي لمرضى الضغط المرتفع يعمل كمرخي للأوعية الدموية المتشنجة لتسمح بسهولة تدفق وسريان الدم للقلب وبقية أعضاء الجسم بانسيابية متزنة دون ضغوط.","قد يسبب الاستخدام الدائم تورماً واضحاً جداً في الكاحلين والقدمين واحتباساً للماء تحت الجلد، وصداع الرأس العابر مع احمرار وبريق الوجه."
114,"Norvasc 10mg Tablets","نورفاسك أقراص 10 مجم","Blood pressure & Heart","تُستخدم نورفاسك أقراص 10 مجم كعلاج مفصلي لمرضى الضغط المرتفع يعمل كمرخي للأوعية الدموية المتشنجة لتسمح بسهولة تدفق وسريان الدم للقلب وبقية أعضاء الجسم بانسيابية متزنة دون ضغوط.","قد يسبب الاستخدام الدائم تورماً واضحاً جداً في الكاحلين والقدمين واحتباساً للماء تحت الجلد، وصداع الرأس العابر مع احمرار وبريق الوجه."
115,"Amlopin 5mg Tablets","أملوبين أقراص 5 مجم","Blood pressure & Heart","تُستخدم أملوبين أقراص 5 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
116,"Inderal 10mg Tablets","إندرال أقراص 10 مجم","Blood pressure & Heart","تُستخدم إنديرال أقراص 10 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
117,"Inderal 40mg Tablets","إندرال أقراص 40 مجم","Blood pressure & Heart","تُستخدم إنديرال أقراص 40 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
118,"Inderal IM Injection","إندرال حقن عضل","Blood pressure & Heart","تُستخدم إنديرال حقن عضل كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
119,"Zestril 10mg Tablets","زيستريل أقراص 10 مجم","Blood pressure & Heart","تُستخدم زيستريل أقراص 10 مجم كموسع للشرايين ومخفض لضغط الدم يحمي عضلة القلب والكلى بمرور الوقت من الأضرار العنيفة لضغط الدم المرتفع ويقي المرضى من المضاعفات المستقبلية.","عائلة (ACE) كالزستريل كابوتين قد تصاحبها كأثر جانبي كحة وسعال جاف مزعج جداً تتطلب وقف الدواء بأمر الطبيب، بالإضافة لدوار عابر ملحوظ."
120,"Zestril 5mg Tablets","زيستريل أقراص 5 مجم","Blood pressure & Heart","تُستخدم زيستريل أقراص 5 مجم كموسع للشرايين ومخفض لضغط الدم يحمي عضلة القلب والكلى بمرور الوقت من الأضرار العنيفة لضغط الدم المرتفع ويقي المرضى من المضاعفات المستقبلية.","عائلة (ACE) كالزستريل كابوتين قد تصاحبها كأثر جانبي كحة وسعال جاف مزعج جداً تتطلب وقف الدواء بأمر الطبيب، بالإضافة لدوار عابر ملحوظ."
121,"Capoten 25mg Tablets","كابوتين أقراص 25 مجم","Blood pressure & Heart","تُستخدم كابوتين أقراص 25 مجم كموسع للشرايين ومخفض لضغط الدم يحمي عضلة القلب والكلى بمرور الوقت من الأضرار العنيفة لضغط الدم المرتفع ويقي المرضى من المضاعفات المستقبلية.","عائلة (ACE) كالزستريل كابوتين قد تصاحبها كأثر جانبي كحة وسعال جاف مزعج جداً تتطلب وقف الدواء بأمر الطبيب، بالإضافة لدوار عابر ملحوظ."
122,"Cozaar 50mg Tablets","كوزار أقراص 50 مجم","Blood pressure & Heart","تُستخدم كوزار أقراص 50 مجم كموسع للشرايين ومخفض لضغط الدم يحمي عضلة القلب والكلى بمرور الوقت من الأضرار العنيفة لضغط الدم المرتفع ويقي المرضى من المضاعفات المستقبلية.","عائلة (ACE) كالزستريل كابوتين قد تصاحبها كأثر جانبي كحة وسعال جاف مزعج جداً تتطلب وقف الدواء بأمر الطبيب، بالإضافة لدوار عابر ملحوظ."
123,"Diovan 160mg Tablets","ديوفان أقراص 160 مجم","Blood pressure & Heart","تُستخدم ديوفان أقراص 160 مجم كموسع للشرايين ومخفض لضغط الدم يحمي عضلة القلب والكلى بمرور الوقت من الأضرار العنيفة لضغط الدم المرتفع ويقي المرضى من المضاعفات المستقبلية.","عائلة (ACE) كالزستريل كابوتين قد تصاحبها كأثر جانبي كحة وسعال جاف مزعج جداً تتطلب وقف الدواء بأمر الطبيب، بالإضافة لدوار عابر ملحوظ."
124,"Aldomet 250mg Tablets","ألدوميت أقراص 250 مجم","Blood pressure & Heart","تُستخدم ألدوميت أقراص 250 مجم كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
125,"Cordarone 200mg Tablets","كوردارون أقراص 200 مجم","Blood pressure & Heart","تُستخدم كوردارون أقراص 200 مجم كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
126,"Lanoxin 0.25mg Tablets","لانوكسين أقراص 0.25 مجم","Blood pressure & Heart","تُستخدم لانوكسين أقراص 0.25 مجم كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
127,"Lasix 40mg Tablets","لازيكس أقراص 40 مجم","Blood pressure & Heart","تُستخدم لازيكس أقراص 40 مجم كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
128,"Lasix Ampoules","لازيكس أمبولات","Blood pressure & Heart","تُستخدم لازيكس أمبولات كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
129,"Aldactone 25mg Tablets","ألداكتون أقراص 25 مجم","Blood pressure & Heart","تُستخدم ألداكتون أقراص 25 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
130,"Aspocid 100mg Tablets","أسبوسيد أقراص 100 مجم","Blood pressure & Heart","تُستخدم أسبوسيد أقراص 100 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
131,"Cardiprin 100mg Tablets","كارديبرين أقراص 100 مجم","Blood pressure & Heart","تُستخدم كارديبرين أقراص 100 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
132,"Plavix 75mg Tablets","بلافيكس أقراص 75 مجم","Blood pressure & Heart","تُستخدم بلافيكس أقراص 75 مجم كأدوية مساندة لأداء الدورة الدموية، تستخدم إما كمدرات للبول للتخلص من السوائل المتجمعة في الرئة والأطراف السفلية، أو كمميعات قوية للدم لمنع حدوث التجلطات المفاجئة في الأوردة والشرايين المغذية.","مدرات البول قد تسبب الإجهاد العضلي لخسارة الأملاح (كالبوتاسيوم)، ومميعات الدم قد تزيد من خطر وطول مدة النزيف من الجروح أو الكدمات البسيطة."
133,"Xarelto 20mg Tablets","زاريلتو أقراص 20 مجم","Blood pressure & Heart","تُستخدم زاريلتو أقراص 20 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
134,"Isordil 10mg Tablets","إيزوردل أقراص 10 مجم","Blood pressure & Heart","تُستخدم إيزوردل أقراص 10 مجم كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
135,"Nitroglycerin Tablets","نتروجليسيرين أقراص","Blood pressure & Heart","تُستخدم نتروجليسيرين أقراص كحاصرات ذكية لمستقبلات بيتا، تعمل بشكل علمي لدعم عضلة القلب، وتقليل عبء الضربات المتسارعة المجهدة، بالإضافة لخفض ضغط الدم المرتفع والوقاية الفعالة من نوبات الذبحات الصدرية.","قد يشعر المريض بنوع من الدوار العابر المستمر وبطء ضربات القلب والشعور ببرودة واضحة في الأطراف، ولا يصلح لمرضى الربو الشديد."
136,"Ator 10mg Tablets","أطور أقراص 10 مجم","Blood pressure & Heart","تُستخدم أطور أقراص 10 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
137,"Ator 20mg Tablets","أطور أقراص 20 مجم","Blood pressure & Heart","تُستخدم أطور أقراص 20 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
138,"Ator 40mg Tablets","أطور أقراص 40 مجم","Blood pressure & Heart","تُستخدم أطور أقراص 40 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
139,"Lipitor 10mg Tablets","ليبيتور أقراص 10 مجم","Blood pressure & Heart","تُستخدم ليبيتور أقراص 10 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
140,"Lipitor 20mg Tablets","ليبيتور أقراص 20 مجم","Blood pressure & Heart","تُستخدم ليبيتور أقراص 20 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
141,"Crestor 10mg Tablets","كرستور أقراص 10 مجم","Blood pressure & Heart","تُستخدم كرستور أقراص 10 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
142,"Zocor 20mg Tablets","زوكور أقراص 20 مجم","Blood pressure & Heart","تُستخدم زوكور أقراص 20 مجم لتثبيط إنتاج الكبد المفرط للكوليسترول الضار والدهون الثلاثية الخبيثة، مما يحمي الشرايين بشكل فعال من التصلب والانسداد المفاجئ ويحافظ على صحة القلب الممتازة.","العمليات الحيوية للقلب قوية ولكن الدواء بجرعات زائدة قد يسبب ألماً وارهاقاً متواصلاً في بعض العضلات الرئيسية ومفصل الساق يتطلب الانتباه."
143,"Glucophage 500mg Tablets","جلوكوفاج أقراص 500 مجم",Diabetes,"تُستخدم جلوكوفاج أقراص 500 مجم كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
144,"Glucophage 1000mg Tablets","جلوكوفاج أقراص 1000 مجم",Diabetes,"تُستخدم جلوكوفاج أقراص 1000 مجم كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
145,"Glucophage XR 1000mg Tablets","جلوكوفاج XR أقراص 1000 مجم",Diabetes,"تُستخدم جلوكوفاج XR أقراص 1000 مجم كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
146,"Amaryl 1mg Tablets","أماريل أقراص 1 مجم",Diabetes,"تُستخدم أماريل أقراص 1 مجم كمحفز قوي للبنكرياس لإنتاج وضخ المزيد من الإنسولين في مجرى الدم للسيطرة المباشرة على مستويات السكر المرتفعة بعد الوجبات لمرضى النوع الثاني.","أكثر أعراضه الجانبية شيوعاً وخطراً هي نوبات هبوط السكر المفاجئ (الدوخة، التعرق، الرعشة) خصوصاً للمريض الذي يهمل وجبته بعد الدواء."
147,"Amaryl 2mg Tablets","أماريل أقراص 2 مجم",Diabetes,"تُستخدم أماريل أقراص 2 مجم كمحفز قوي للبنكرياس لإنتاج وضخ المزيد من الإنسولين في مجرى الدم للسيطرة المباشرة على مستويات السكر المرتفعة بعد الوجبات لمرضى النوع الثاني.","أكثر أعراضه الجانبية شيوعاً وخطراً هي نوبات هبوط السكر المفاجئ (الدوخة، التعرق، الرعشة) خصوصاً للمريض الذي يهمل وجبته بعد الدواء."
148,"Amaryl 4mg Tablets","أماريل أقراص 4 مجم",Diabetes,"تُستخدم أماريل أقراص 4 مجم كمحفز قوي للبنكرياس لإنتاج وضخ المزيد من الإنسولين في مجرى الدم للسيطرة المباشرة على مستويات السكر المرتفعة بعد الوجبات لمرضى النوع الثاني.","أكثر أعراضه الجانبية شيوعاً وخطراً هي نوبات هبوط السكر المفاجئ (الدوخة، التعرق، الرعشة) خصوصاً للمريض الذي يهمل وجبته بعد الدواء."
149,"Diamicron 30mg Tablets","دياميكرون أقراص 30 مجم",Diabetes,"تُستخدم دياميكرون أقراص 30 مجم كمحفز قوي للبنكرياس لإنتاج وضخ المزيد من الإنسولين في مجرى الدم للسيطرة المباشرة على مستويات السكر المرتفعة بعد الوجبات لمرضى النوع الثاني.","أكثر أعراضه الجانبية شيوعاً وخطراً هي نوبات هبوط السكر المفاجئ (الدوخة، التعرق، الرعشة) خصوصاً للمريض الذي يهمل وجبته بعد الدواء."
150,"Diamicron 60mg Tablets","دياميكرون أقراص 60 مجم",Diabetes,"تُستخدم دياميكرون أقراص 60 مجم كمحفز قوي للبنكرياس لإنتاج وضخ المزيد من الإنسولين في مجرى الدم للسيطرة المباشرة على مستويات السكر المرتفعة بعد الوجبات لمرضى النوع الثاني.","أكثر أعراضه الجانبية شيوعاً وخطراً هي نوبات هبوط السكر المفاجئ (الدوخة، التعرق، الرعشة) خصوصاً للمريض الذي يهمل وجبته بعد الدواء."
151,"Galvus 50mg Tablets","جالفوس أقراص 50 مجم",Diabetes,"تُستخدم جالفوس أقراص 50 مجم كجيل حديث من أدوية السكري يعمل إما على منع تكسر الهرمونات المحفزة للإنسولين أو طرد الجلوكوز الزائد عن طريق البول، مما يحافظ على استقرار السكر ويحمي القلب والكلى.","المجموعة التي تعمل عبر البول (SGLT2) قد تسبب تكرار التبول وزيادة ملحوظة في خطر الإصابة بعدوى المسالك البولية الفطرية المتككرة."
152,"Januvia 100mg Tablets","جانوفيا أقراص 100 مجم",Diabetes,"تُستخدم جانوفيا أقراص 100 مجم كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
153,"Janumet 50/1000mg Tablets","جانوميت أقراص",Diabetes,"تُستخدم جانوميت أقراص كجيل حديث من أدوية السكري يعمل إما على منع تكسر الهرمونات المحفزة للإنسولين أو طرد الجلوكوز الزائد عن طريق البول، مما يحافظ على استقرار السكر ويحمي القلب والكلى.","المجموعة التي تعمل عبر البول (SGLT2) قد تسبب تكرار التبول وزيادة ملحوظة في خطر الإصابة بعدوى المسالك البولية الفطرية المتككرة."
154,"Jardiance 10mg Tablets","جارديانس أقراص 10 مجم",Diabetes,"تُستخدم جارديانس أقراص 10 مجم كجيل حديث من أدوية السكري يعمل إما على منع تكسر الهرمونات المحفزة للإنسولين أو طرد الجلوكوز الزائد عن طريق البول، مما يحافظ على استقرار السكر ويحمي القلب والكلى.","المجموعة التي تعمل عبر البول (SGLT2) قد تسبب تكرار التبول وزيادة ملحوظة في خطر الإصابة بعدوى المسالك البولية الفطرية المتككرة."
155,"Jardiance 25mg Tablets","جارديانس أقراص 25 مجم",Diabetes,"تُستخدم جارديانس أقراص 25 مجم كجيل حديث من أدوية السكري يعمل إما على منع تكسر الهرمونات المحفزة للإنسولين أو طرد الجلوكوز الزائد عن طريق البول، مما يحافظ على استقرار السكر ويحمي القلب والكلى.","المجموعة التي تعمل عبر البول (SGLT2) قد تسبب تكرار التبول وزيادة ملحوظة في خطر الإصابة بعدوى المسالك البولية الفطرية المتككرة."
156,"Synjardy 5mg Tablets","سينجاردي أقراص",Diabetes,"تُستخدم سينجاردي أقراص كجيل حديث من أدوية السكري يعمل إما على منع تكسر الهرمونات المحفزة للإنسولين أو طرد الجلوكوز الزائد عن طريق البول، مما يحافظ على استقرار السكر ويحمي القلب والكلى.","المجموعة التي تعمل عبر البول (SGLT2) قد تسبب تكرار التبول وزيادة ملحوظة في خطر الإصابة بعدوى المسالك البولية الفطرية المتككرة."
157,"Trulicity 1.5mg Injection","تروليسيتي حقن",Diabetes,"تُستخدم تروليسيتي حقن كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
158,"Rybelsus 7mg Tablets","ريبيلسوس أقراص 7 مجم",Diabetes,"تُستخدم ريبيلسوس أقراص 7 مجم كمنظم حيوي وأساسي لسكر الدم يعمل على زيادة حساسية الجسم للإنسولين وتقليل إنتاج الكبد اللحظي للسكر. يعتبر طوق النجاة الأول عالمياً لمرضى السكري من النوع الثاني.","اضطرابات الجهاز الهضمي المؤقتة هي العرض الأشهر (الإسهال الشديد، ألآم البطن، والانتفاخ)، ويفضل تناوله في وسط الوجبات لتقليل هذا الأثر."
